INSUMOS,VALOR,QUANTIDADE (g),TOTAL
Avocado Primalta,R$10.00,1000,R$10.00
Açúcar,R$18.50,5000,R$3.70
Água com Gás,R$0.95,500,R$1.90
Água Sanitária,R$10.96,5000,R$2.19
Água sem Gás,R$0.89,500,R$1.78
Álcool 70%,R$7.49,1000,R$7.49
Alga Nori,R$33.90,0.5,R$0.17
Alho,R$22.90,1000,R$22.90
Arroz Mirokumai,R$48.00,5000,R$9.60
Atum 30up,R$45.00,1000,R$45.00
Atum Inteiro 20/30,R$34.90,1000,R$34.90
Atum Lombo Limpo,R$75.00,1000,R$75.00
Azeite de Oliva,R$19.50,500,R$39.00
Alga Gold,R$39.00,200000,R$0.20
Azeite Trufado,R$42.86,125,R$342.88
Banana,R$5.99,1000,R$5.99
Acelga,R$9.00,1000,R$9.00
Bandeja 5 sushi,R$196.00,200000,R$0.98
Cenoura,R$4.29,1000,R$4.29
Cachaça,R$11.80,965,R$12.23
Hoisin,R$42.00,400,R$105.00
Caixa Primegraf,R$4.95,1,R$4.95
Camarão Sete Barbas,R$56.00,1000,R$56.00
Camarão 31/35,R$70.00,1000,R$70.00
Broto de Feijão,R$11.00,1000,R$11.00
Holantao,R$46.00,1000,R$46.00
Cebola Roxa,R$5.99,1000,R$5.99
Cebolinha,R$2.59,1000,R$2.59
Char Siu,R$37.66,397,R$94.86
Coca Cola 350,R$3.00,1000,R$3.00
Coca Zero 350,R$3.00,1000,R$3.00
Coentro,R$1.99,1000,R$1.99
Cream Cheese,R$40.70,1200,R$33.92
Detergente,R$2.10,500,R$4.20
Fan Si,R$36.50,200,R$182.50
Farinha,R$22.90,5000,R$4.58
Fermento,R$5.45,250,R$21.80
Filme PVC,R$39.89,300000,R$0.13
Fósforo,R$2.95,10000,R$0.30
Fumaça Líquida,R$29.90,1000,R$29.90
Gás Cartucho,R$14.90,227,R$65.64
Gengibre,R$22.90,1000,R$22.90
Gergelim,R$35.90,1000,R$35.90
Glicose,R$12.99,350,R$37.11
Glutamato,R$27.90,1000,R$27.90
Gordura Vegetal,R$198.90,14500,R$13.72
Habanero Kikkoman,R$13.21,210,R$62.88
Hashi Verde 100 pares,R$16.90,100000,R$0.17
Hondashi,R$46.46,500,R$92.91
Konbu,R$20.90,100,R$209.00
Limão Siciliano,R$8.49,1000,R$8.49
Limão Tahiti,R$1.60,1000,R$1.60
LKK Chilli Garlic,R$57.00,368,R$154.89
Lula Anel,R$31.90,1000,R$31.90
Maionese,R$13.79,930,R$14.83
Maizena,R$31.99,5000,R$6.40
Manga,R$4.99,1000,R$4.99
Manteiga com Sal,R$14.90,500,R$29.80
Maracujá,R$60.00,10000,R$6.00
Batata Doce,R$3.69,1000,R$3.69
Massa Pastel,R$17.50,2000,R$8.75
Missô,R$16.06,500,R$32.11
Molho Agridoce,R$129.00,5000,R$25.80
Molho Inglês,R$5.23,150,R$34.83
Mostarda,R$39.90,3600,R$11.08
Óleo de Algodão,R$209.00,15800,R$13.23
Óleo de Gergelim,R$68.31,1000,R$68.31
Óleo de Soja,R$7.56,900,R$8.40
Ovo,R$18.00,1800,R$10.00
Panca,R$60.00,1000,R$60.00
Panko Alpha,R$17.01,1000,R$17.01
Papel Toalha,R$2.88,2000,R$1.44
Parmesão,R$3.49,50,R$69.80
Polvo Limpo,R$110.33,1000,R$110.33
Potinho Shoyu,R$149.00,700000,R$0.21
Saco de Lixo 50L,R$6.20,50000,R$0.12
Sacola Kraft,R$0.55,1000,R$0.55
Sal,R$1.45,1000,R$1.45
Salmão 100%,R$45.00,1000,R$45.00
Pepino Japonês,R$6.60,1000,R$6.60
Salsinha,R$1.99,1000,R$1.99
Shitake,R$121.90,500,R$243.80
Shoyu,R$5.50,150,R$36.67
Sweet Chilli Kikkoman,R$17.05,180,R$94.74
Tarê Kikkoman,R$47.90,5000,R$9.58
Tempero Sushi Azuma,R$26.90,5000,R$5.38
Tofu,R$17.00,500,R$34.00
Prego,R$60.00,1000,R$60.00
Togarashi,R$113.05,300,R$376.83
Vieira,R$229.90,1000,R$229.90
Vinagre,R$1.89,900,R$2.10
Dedo de Moça,R$21.99,1000,R$21.99
Orégano,R$25.90,1000,R$25.90
Carne de Siri,R$80.00,1000,R$80.00
Wasabi,R$49.90,1200,R$41.58
Kani,R$36.00,1000,R$36.00
Shoyu Barquinho,R$0.60,30,R$20.00
Shoyu Kikkoman,R$69.90,2000,R$69.90
Gari,R$20.00,1000,R$20.00
Shitake Hidratado,R$121.90,1000,R$48.76
Embalagem Temaki,R$1.20,1,R$1.20
Embalagem Combinado,R$0.73,1,R$0.73
Embalagem Meia,R$0.56,1,R$0.56
Embalagem Poke,R$1.21,1,R$1210.00
Pote Sunomomo,R$0.40,1,R$400.00
Salmão Raspado,R$45.00,1000,R$45.00
Abacaxi em Conserva,R$25.00,1000,R$25.00
Molho de Ostra,R$30.00,1,R$30.00
Caixa P,R$1.84,1,R$1.84
Atum Spicy,R$42.58,1000,R$42.58
Cha Siu,R$53.02,1000,R$53.02
Molho Acevichado,R$9.42,1000,R$9.42
Molho Fuji,R$20.69,1000,R$20.69
Molho Seiji,R$9.71,1000,R$9.71
Molho Tusán,R$19.82,1000,R$19.82
Tempura,R$5.98,1000,R$5.98
Su,R$2.18,1000,R$2.18
Shari,R$3.88,1000,R$3.88
Chimichurri,R$7.48,1000,R$7.48
Molho Passion,R$63.70,1000,R$63.70
Inca Maki,R$6.65,1,R$6.65
Salmão Spicy,R$13.10,1,R$13.10
Batayaki,R$145.35,1000,R$145.35
Ají,R$7.17,1000,R$7.17
Molho Imperial,R$46.10,1000,R$46.10
Lula Empanada,R$18.13,1000,R$18.13
Sunomomo,R$8.39,1000,R$8.39
Kani Empanado,R$20.18,1000,R$20.18
Mistura Hot,R$11.59,1000,R$11.59
Mistura Grelhado,R$11.31,1000,R$11.31
Acevichado Maki,R$4.68,1,R$4.68
Jalea Roll,R$3.52,1,R$3.52
Wings Meia,R$17.05,6,R$17.05
Wings Inteira,R$35,12,R$35
Yakimeshi,R$13.05,1,R$13.05
Hosomaki Salmão,R$3.40,1,R$3.40
Seiji,R$3.56,1,R$3.56
Inca Express,R$2.96,1,R$2.96
Fuji,R$3.71,1,R$3.71
Chimi Express,R$3.03,1,R$3.03
Monkey Express,R$3.15,1,R$3.15
Dragon Express,R$3.23,1,R$3.23
Furai Express,R$3.35,1,R$3.35
Imperial Express,R$5.00,1,R$5.00
Inca,R$4.00,1,R$4.00
Batayaki Express,R$5.10,1,R$5.10
Monkey,R$4.00,1,R$4.00
Dragon,R$4.00,1,R$4.00
Furai,R$4.00,1,R$4.00
Chimi,R$4.00,1,R$4.00
Passion Express,R$5.85,1,R$5.85
Batayaki,R$5.00,1,R$5.00
Passion,R$5.00,1,R$5.00
Imperial,R$5.00,1,R$5.00
Temaki Seiji,R$2.61,1,R$2.61
Temaki Acevichado,R$4.15,1,R$4.15
Temaki Fuji,R$4.22,1,R$4.22
Temaki Salmão,R$4.45,1,R$4.45
Temahot Furai,R$6.00,1,R$6.00
Temaki Jimmy,R$6.44,1,R$6.44
Temaki Kani,R$2.44,1,R$2.44
Temaki Ika,R$2.68,1,R$2.68
Sassami,R$15.00,1000,R$15.00
Salmão Filé,R$90.00,1000,R$90.00
MONKEY VEG,R$1.30,1,R$1.30
DRAGON VEG,R$1.44,1,R$1.40
FUJI VEG,R$1.85,1,R$1.90
SEIJI VEG,R$1.91,1,R$1.90
JALEA VEG,R$1.95,1,R$1.95
TEQUEÑO VEG,R$2.28,1,R$2.28
MARACUMANGO VEG,R$2.39,1,R$2.39
COMBINADO VEG,R$2.48,1,R$2.48
TEFO VEG,R$3.01,1,R$3.01
ACHIFADO VEG,R$3.13,1,R$3.13
ANTICUCHERO VEG,R$3.36,1,R$3.36
MAJESTUOSO VEG,R$3.69,1,R$3.69
PASSION VEG,R$4.68,1,R$4.68
Salmão Empanado,R$6.10,1,R$6.10
Camarão Empanado,R$8.08,1,R$8.08
